"Rk","Player","Age","Tm","Pos","GP","CF","CA","CF%","CF% rel","C/60","Crel/60","FF","FA","FF%","FF% rel","oiSH%","oiSV%","PDO","oZS%","dZS%","TOI/60","TOI(EV)","TK","GV","SAtt.","Thru%"
1,Justin Abdelkader,21,DET,LW,2,22,9,71.0,14.6,42.0,36.3,16,8,66.7,16.7,0.0,100.0,100.0,66.7,33.3,9:18,9:18,0,1,7,28.6
2,Craig Adams,31,TOT,RW,45,306,274,52.8,-3.2,0.0,0.0,238,198,54.6,-1.4,3.8,93.1,96.9,56.5,43.5,,,7,3,81,58.0
3,Maxim Afinogenov,29,BUF,RW,48,501,454,52.5,2.4,5.8,5.7,363,340,51.6,1.1,7.0,90.0,97.0,52.3,47.7,12:36,10:13,15,36,172,54.1
4,Andrew Alberts,27,PHI,D,79,921,998,48.0,-1.8,-4.5,-4.3,697,723,49.1,-2.0,9.3,91.5,100.7,49.8,50.2,15:47,13:08,27,59,122,37.7
5,Daniel Alfredsson,36,OTT,RW,79,1122,1000,52.9,3.3,6.6,7.0,835,745,52.8,2.4,9.8,90.1,99.9,52.5,47.5,20:47,13:58,72,56,350,58.3
6,Bryan Allen,28,FLA,D,2,44,33,57.1,2.6,14.7,10.6,34,23,59.6,6.5,11.5,94.1,105.7,38.1,61.9,27:11,22:23,0,0,7,71.4
7,Karl Alzner,20,WSH,D,30,515,407,55.9,1.4,13.5,8.0,372,283,56.8,1.9,8.0,89.0,97.0,52.1,47.9,19:25,15:57,10,36,65,47.7
8,Artem Anisimov,20,NYR,C,1,4,4,50.0,-20.9,0.0,-44.2,4,4,50.0,-16.7,0.0,100.0,100.0,66.7,33.3,9:27,9:27,1,0,1,100.0
9,Nik Antropov,28,TOT,RW,81,1120,979,53.4,1.1,0.0,0.0,833,723,53.5,0.8,9.4,87.5,96.8,56.0,44.0,,,34,40,374,59.4
10,Colby Armstrong,26,ATL,RW,82,916,903,50.4,2.5,0.8,3.1,677,682,49.8,1.2,9.5,92.5,102.0,39.7,60.3,15:09,12:22,34,21,212,66.5
11,Derek Armstrong,35,LAK,C,56,386,384,50.1,-1.0,0.3,-0.8,284,294,49.1,-2.3,5.3,90.2,95.6,58.5,41.5,8:29,8:19,7,9,65,64.6
12,Riley Armstrong,24,SJS,RW,2,7,10,41.2,-21.0,-13.0,-27.3,3,7,30.0,-31.4,0.0,85.7,85.7,66.7,33.3,7:26,6:54,0,1,2,50.0
13,Tyler Arnason,29,COL,C,71,758,826,47.9,-1.0,-4.7,-3.4,568,591,49.0,-0.5,7.1,89.7,96.9,53.0,47.0,13:18,12:20,58,40,192,56.3
14,Jason Arnott,34,NSH,C,65,901,923,49.4,0.3,-1.4,-0.3,693,722,49.0,-1.1,11.9,89.7,101.6,52.3,47.7,18:55,14:01,51,29,328,59.8
15,Evgeny Artyukhin,25,TBL,RW,73,576,689,45.5,-3.6,-9.2,-8.3,445,532,45.5,-3.1,8.3,93.7,102.0,50.9,49.1,10:40,10:04,18,27,159,62.9
16,Arron Asham,30,PHI,RW,78,553,594,48.2,-1.1,-3.7,-2.8,430,440,49.4,-1.0,9.5,90.9,100.3,53.6,46.4,8:45,8:33,12,11,110,67.3
17,Adrian Aucoin,35,CGY,D,81,1196,925,56.4,-0.1,13.7,5.9,907,758,54.5,0.3,8.3,90.4,98.8,52.3,47.7,22:01,14:41,28,29,293,43.0
18,Keith Aucoin,30,WSH,C,12,132,91,59.2,5.2,20.8,15.8,92,70,56.8,0.4,10.4,95.9,106.4,61.3,38.7,10:19,9:51,7,3,22,68.2
19,Sean Avery,28,TOT,LW,41,570,481,54.2,4.2,0.0,0.0,419,361,53.7,2.6,9.0,91.5,100.5,58.9,41.1,,,13,16,182,54.4
20,P.J. Axelsson,33,BOS,LW,75,720,793,47.6,-3.0,-5.0,-5.7,544,609,47.2,-3.3,8.1,93.3,101.5,46.0,54.0,15:60,11:37,41,20,161,53.4
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,C/60,Crel/60,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
21,Anton Babchuk,24,CAR,D,72,1080,943,53.4,0.8,8.1,5.0,806,670,54.6,2.5,7.8,92.7,100.5,55.7,44.3,18:04,14:09,22,20,278,45.7
22,David Backes,24,STL,RW,82,934,920,50.4,1.6,0.8,1.9,739,668,52.5,2.7,9.6,88.3,97.9,45.0,55.0,17:41,12:42,45,20,325,64.0
23,Mikael Backlund,19,CGY,C,1,10,5,66.7,10.8,35.0,17.3,8,5,61.5,4.6,0.0,100.0,100.0,60.0,40.0,10:44,8:35,1,0,3,33.3
24,Christian Backman,28,CBJ,D,56,685,514,57.1,6.2,14.3,13.4,512,391,56.7,4.8,7.1,93.1,100.1,62.3,37.7,15:38,12:48,11,13,136,39.7
25,Nicklas Backstrom,21,WSH,C,82,1474,1132,56.6,2.4,16.8,12.2,1050,846,55.4,0.4,9.9,91.8,101.7,60.0,40.0,19:57,14:56,77,62,312,55.8
26,Josh Bailey,19,NYI,C,68,717,874,45.1,-5.1,-11.5,-11.7,506,621,44.9,-5.1,8.4,91.0,99.4,52.6,47.4,15:29,12:03,36,42,131,56.5
27,Keith Ballard,26,FLA,D,82,1305,1369,48.8,0.9,-2.7,-0.3,980,1057,48.1,1.5,9.7,93.0,102.7,47.7,52.3,22:23,17:24,25,71,235,45.1
28,Krys Barch,28,DAL,RW,72,300,365,45.1,-7.4,-8.5,-11.3,235,268,46.7,-6.7,10.1,91.7,101.8,58.2,41.8,6:27,6:23,9,13,41,65.9
29,Cam Barker,22,CHI,D,68,785,648,54.8,-3.0,8.9,1.8,611,522,53.9,-3.6,7.0,90.5,97.4,58.3,41.7,18:20,13:33,9,17,232,43.5
30,Cody Bass,22,OTT,C,12,43,55,43.9,-9.3,-11.0,-15.1,33,44,42.9,-12.0,4.2,89.7,93.8,66.7,33.3,5:41,5:27,1,3,9,55.6
31,Ryan Bayda,28,CAR,LW,70,523,561,48.2,-6.1,-4.0,-9.1,398,414,49.0,-5.6,6.3,94.8,101.1,54.0,46.0,10:27,8:12,16,3,121,51.2
32,Jay Beagle,23,WSH,C,3,21,18,53.8,-16.2,8.0,-9.6,13,13,50.0,-15.1,0.0,72.7,72.7,60.0,40.0,7:36,7:28,2,0,7,71.4
33,Francois Beauchemin,28,ANA,D,20,320,309,50.9,-5.7,1.9,-6.4,267,263,50.4,-5.6,9.6,90.4,100.0,50.0,50.0,24:54,17:31,9,17,72,62.5
34,Steve Begin,30,TOT,LW,62,471,540,46.6,-6.0,0.0,0.0,346,403,46.2,-6.5,6.6,92.0,98.7,49.7,50.3,,,15,18,147,61.2
35,Wade Belak,32,TOT,RW,53,201,231,46.5,-5.5,0.0,0.0,162,179,47.5,-4.2,6.0,93.6,99.6,56.6,43.4,,,4,7,31,61.3
36,Eric Belanger,31,MIN,C,79,844,952,47.0,-2.5,-6.2,-5.7,634,725,46.7,-3.5,7.6,92.4,100.0,38.2,61.8,17:50,13:11,48,34,259,56.8
37,Matt Beleskey,20,ANA,LW,2,14,12,53.8,-9.1,5.4,-19.3,9,6,60.0,-3.5,20.0,75.0,95.0,53.8,46.2,11:10,11:02,0,0,5,0.0
38,Brendan Bell,25,OTT,D,53,667,653,50.5,-2.3,1.1,-1.9,495,484,50.6,-3.1,9.1,89.5,98.7,50.8,49.2,17:38,14:16,19,33,151,50.3
39,Sean Bentivoglio,23,NYI,LW,1,8,14,36.4,-8.2,-32.0,-19.2,6,12,33.3,-9.3,0.0,100.0,100.0,44.4,55.6,11:31,11:15,0,1,2,100.0
40,Sean Bergenheim,24,NYI,LW,59,717,723,49.8,-0.1,-0.5,-0.4,527,530,49.9,0.0,6.3,91.7,98.0,45.4,54.6,14:15,11:47,32,27,243,62.1
41,Marc-Andre Bergeron,28,MIN,D,72,921,811,53.2,5.1,7.0,9.0,701,621,53.0,3.8,7.6,92.6,100.2,67.9,32.1,16:52,13:05,11,21,307,45.6
42,Patrice Bergeron,23,BOS,C,64,640,693,48.0,-4.0,-4.1,-6.3,490,523,48.4,-3.2,9.1,92.7,101.9,44.1,55.9,17:42,12:08,35,15,242,63.2
43,Niclas Bergfors,21,NJD,RW,8,32,44,42.1,-11.2,-15.8,-21.1,28,30,48.3,-6.2,5.6,90.9,96.5,80.0,20.0,5:48,5:41,0,1,9,66.7
44,Patrik Berglund,20,STL,C,76,695,707,49.6,0.4,-0.9,0.0,555,552,50.1,-0.3,10.4,95.1,105.6,61.4,38.6,14:43,10:55,30,21,250,57.2
45,Steve Bernier,23,VAN,RW,81,687,801,46.2,-4.5,-7.7,-8.4,507,606,45.6,-4.9,9.9,92.8,102.6,51.5,48.5,13:40,11:01,30,12,196,67.9
46,Todd Bertuzzi,33,CGY,LW,66,894,804,52.7,-6.3,5.9,-5.2,682,639,51.6,-5.7,8.4,89.0,97.4,57.0,43.0,18:20,13:59,28,67,204,61.8
47,Blair Betts,28,NYR,C,81,463,525,46.9,-8.5,-6.2,-12.4,362,397,47.7,-7.5,5.5,91.5,97.0,39.9,60.1,10:37,7:26,32,7,133,62.4
48,Kevin Bieksa,27,VAN,D,72,1044,1009,50.9,1.7,1.8,2.7,776,816,48.7,-1.2,8.3,91.5,99.8,51.7,48.3,23:10,16:31,29,55,339,44.0
49,Paul Bissonnette,23,PIT,LW,15,21,38,35.6,-8.6,-19.4,-11.6,20,29,40.8,-4.0,6.7,89.5,96.1,40.9,59.1,3:31,3:31,0,2,5,80.0
50,Byron Bitz,24,BOS,RW,35,266,263,50.3,-0.3,0.5,-0.2,207,180,53.5,3.3,4.7,94.9,99.6,51.7,48.3,10:22,9:50,4,4,45,68.9
51,Jason Blake,35,TOR,LW,78,1179,1057,52.7,1.1,6.7,4.8,889,806,52.4,0.2,8.2,90.0,98.2,55.0,45.0,18:07,13:55,53,43,442,67.6
52,Rob Blake*,39,SJS,D,73,1115,1016,52.3,-4.6,5.2,-2.3,866,764,53.1,-4.1,8.1,92.9,101.0,52.1,47.9,21:16,15:32,23,37,365,54.2
53,Brandon Bochenski,26,TBL,RW,7,54,47,53.5,3.5,6.7,6.7,33,37,47.1,-4.0,7.1,83.9,91.0,50.0,50.0,10:47,9:00,4,2,14,78.6
54,Troy Bodie,24,ANA,RW,4,35,17,67.3,2.9,33.1,26.7,27,17,61.4,-3.1,0.0,100.0,100.0,84.2,15.8,8:09,8:09,0,1,7,71.4
55,Mikkel Boedker,19,PHX,LW,78,782,924,45.8,0.7,-9.1,-3.9,576,701,45.1,-0.1,9.3,91.7,101.0,47.1,52.9,15:20,12:01,41,8,201,55.7
56,Zach Bogosian,18,ATL,D,47,658,705,48.3,-0.1,-3.9,-2.4,506,545,48.1,-1.6,11.9,90.7,102.7,44.2,55.8,18:06,15:21,32,21,184,48.9
57,Alexandre Bolduc,23,VAN,C,7,33,37,47.1,0.7,-5.4,-3.0,26,23,53.1,4.9,12.5,94.7,107.2,41.9,58.1,7:20,6:24,2,3,9,77.8
58,Jared Boll,22,CBJ,RW,75,508,508,50.0,-3.2,0.0,-3.2,384,391,49.5,-3.8,6.9,90.9,97.9,48.6,51.4,8:54,8:44,19,7,132,55.3
59,Dave Bolland,22,CHI,C,81,1006,826,54.9,-0.1,10.4,5.9,811,667,54.9,0.0,9.5,91.7,101.2,43.4,56.6,16:27,12:52,35,10,193,57.5
60,Radek Bonk,33,NSH,C,66,623,723,46.3,-5.6,-7.3,-9.3,469,544,46.3,-4.9,5.8,92.2,97.9,36.3,63.7,15:26,12:23,26,16,159,64.2
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,C/60,Crel/60,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
61,Derek Boogaard,26,MIN,LW,51,166,220,43.0,-7.7,-13.1,-14.0,127,173,42.3,-9.0,7.8,97.7,105.4,54.5,45.5,4:60,4:51,3,2,27,48.1
62,David Booth,24,FLA,LW,72,998,932,51.7,5.5,4.1,8.5,746,733,50.4,4.9,9.7,92.2,101.8,49.0,51.0,17:05,13:34,35,28,401,60.8
63,Casey Borer,23,CAR,D,3,20,33,37.7,-11.9,-24.9,-24.3,16,22,42.1,-8.7,10.0,92.9,102.9,37.5,62.5,11:05,10:28,0,1,0,
64,Pierre-Marc Bouchard,24,MIN,LW,71,888,868,50.6,2.1,1.2,2.9,672,676,49.9,0.8,8.4,91.6,100.0,49.8,50.2,16:59,13:35,28,37,209,67.9
65,Philippe Boucher,35,TOT,D,41,537,607,46.9,0.2,0.0,0.0,405,447,47.5,-0.7,9.3,93.4,102.7,52.3,47.7,,,12,22,142,46.5
66,Francis Bouillon,33,MTL,D,54,679,699,49.3,-0.6,-1.6,-1.4,507,514,49.7,0.0,7.6,89.6,97.2,55.1,44.9,16:30,14:09,15,32,120,42.5
67,Jesse Boulerice,30,EDM,RW,2,5,10,33.3,-26.4,-40.4,-51.4,4,7,36.4,-19.2,0.0,100.0,100.0,60.0,40.0,3:43,3:43,0,0,0,
68,Eric Boulton,32,ATL,LW,76,427,563,43.1,-6.6,-14.4,-14.2,348,423,45.1,-4.6,7.2,93.3,100.5,48.1,51.9,7:33,7:27,12,12,109,65.1
69,Chris Bourque,23,WSH,LW,8,65,46,58.6,4.3,16.0,11.2,53,31,63.1,9.1,5.9,90.9,96.8,67.7,32.3,9:46,8:54,2,5,19,57.9
70,Rene Bourque,27,CGY,LW,58,729,622,54.0,-3.5,9.0,-0.4,535,488,52.3,-3.1,12.3,92.2,104.5,54.4,45.6,15:48,12:15,32,13,246,60.2
71,Jay Bouwmeester,25,FLA,D,82,1337,1610,45.4,-3.6,-10.6,-9.5,1017,1269,44.5,-3.4,9.1,92.9,102.0,41.9,58.1,26:59,18:47,27,51,361,50.4
72,Johnny Boychuk,25,BOS,D,1,9,13,40.9,,-18.0,-18.0,8,10,44.4,,0.0,100.0,100.0,28.6,71.4,14:48,13:22,1,0,1,0.0
73,Zach Boychuk,19,CAR,C,2,16,19,45.7,,-7.7,-7.7,14,18,43.8,,11.1,91.7,102.8,61.5,38.5,12:03,11:42,0,2,2,0.0
74,Dustin Boyd,22,CGY,C,71,660,612,51.9,-6.0,4.3,-4.8,464,503,48.0,-8.2,7.9,90.2,98.0,55.8,44.2,12:38,9:26,23,18,145,51.0
75,Brad Boyes,26,STL,RW,82,1110,1057,51.2,3.5,2.7,4.9,863,801,51.9,2.7,8.1,88.6,96.7,50.3,49.7,19:08,14:15,40,47,415,53.0
76,Brian Boyle,24,LAK,C,28,204,227,47.3,-5.8,-5.1,-9.9,167,175,48.8,-4.3,4.6,87.9,92.6,51.9,48.1,10:08,9:34,11,11,58,62.1
77,Dan Boyle,32,SJS,D,77,1370,1065,56.3,1.5,13.3,8.2,1050,788,57.1,1.9,7.4,91.3,98.8,56.6,43.4,24:46,17:50,36,63,423,50.6
78,Nick Boynton,30,FLA,D,68,869,911,48.8,0.9,-2.7,-0.6,647,700,48.0,1.2,9.7,92.3,102.0,50.4,49.6,16:36,13:33,10,43,229,45.4
79,Matt Bradley,30,WSH,RW,81,687,675,50.4,-6.0,0.9,-6.8,493,494,49.9,-6.3,6.0,94.0,100.0,51.8,48.2,10:37,9:39,21,22,166,59.0
80,Donald Brashear,37,WSH,LW,63,420,418,50.1,-6.7,0.2,-8.5,312,308,50.3,-6.0,3.7,93.9,97.6,53.5,46.5,8:15,8:11,20,26,70,61.4
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,C/60,Crel/60,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
81,Derick Brassard,21,CBJ,C,31,331,233,58.7,7.5,17.5,16.3,241,178,57.5,5.0,14.8,91.7,106.4,66.3,33.8,14:24,10:49,21,13,102,57.8
82,Tim Brent,24,CHI,C,2,14,17,45.2,-12.8,-10.8,-26.0,12,12,50.0,-6.3,0.0,100.0,100.0,75.0,25.0,8:21,8:21,0,0,1,0.0
83,Eric Brewer,29,STL,D,28,447,473,48.6,-0.8,-3.0,-2.5,342,369,48.1,-2.8,8.4,87.5,95.9,43.2,56.8,25:07,18:20,16,18,111,44.1
84,Daniel Briere,31,PHI,C,29,306,374,45.0,-5.4,-11.9,-12.3,227,273,45.4,-6.4,11.2,90.2,101.4,52.2,47.8,15:39,11:52,8,16,97,55.7
85,Rod Brind'Amour,38,CAR,C,80,1082,1044,50.9,-3.3,2.0,-3.3,774,799,49.2,-6.2,6.3,90.4,96.7,48.8,51.2,18:58,14:01,40,40,228,59.2
86,Patrice Brisebois,38,MTL,D,62,733,789,48.2,0.7,-4.2,-0.9,538,593,47.6,0.5,8.2,92.0,100.1,52.9,47.1,15:54,12:54,14,54,163,41.7
87,Kyle Brodziak,24,EDM,C,79,595,784,43.1,-5.8,-14.7,-13.5,450,591,43.2,-5.6,10.3,92.5,102.8,35.1,64.9,12:43,9:44,33,32,168,58.9
88,Sheldon Brookbank,28,TOT,D,44,448,412,52.1,-2.1,0.0,0.0,344,328,51.2,-3.8,7.9,93.8,101.7,59.9,40.1,,,10,9,72,41.7
89,Wade Brookbank,31,CAR,LW,27,56,68,45.2,-7.6,-10.9,-14.5,46,47,49.5,-3.3,8.8,91.2,100.0,56.7,43.3,2:30,2:27,1,0,13,61.5
90,Troy Brouwer,23,CHI,RW,69,758,587,56.4,-0.4,13.1,7.0,593,453,56.7,0.5,7.0,93.6,100.6,69.7,30.3,15:05,11:21,16,12,209,60.3
91,Dustin Brown,24,LAK,RW,80,1151,1053,52.2,0.1,5.3,3.2,895,819,52.2,-0.3,8.4,89.1,97.5,52.2,47.8,19:24,13:48,37,48,516,56.6
92,Mike Brown,23,TOT,RW,48,216,280,43.5,-10.9,0.0,0.0,176,200,46.8,-8.0,3.9,90.8,94.7,57.0,43.0,,,9,1,76,57.9
93,Gilbert Brule,22,EDM,C,11,82,113,42.1,-7.4,-18.2,-17.4,59,77,43.4,-7.4,7.3,88.7,96.0,63.8,36.2,9:52,9:18,0,9,22,59.1
94,Andrew Brunette,35,MIN,LW,80,983,955,50.7,2.4,1.6,3.4,745,724,50.7,1.8,8.0,91.0,99.0,49.3,50.7,16:55,13:14,16,32,170,69.4
95,Fabian Brunnstrom,23,DAL,LW,55,456,470,49.2,-3.2,-1.6,-4.1,366,355,50.8,-1.4,9.4,87.5,97.0,63.9,36.1,11:37,9:39,28,22,131,61.8
96,Adam Burish,26,CHI,RW,66,391,337,53.7,-3.0,6.8,0.3,309,261,54.2,-2.7,7.1,92.9,100.0,55.2,44.8,9:12,7:13,11,1,105,79.0
97,Brent Burns,23,MIN,D,59,856,909,48.5,0.0,-3.2,-1.4,647,675,48.9,-0.1,7.7,91.4,99.1,49.3,50.7,22:23,16:39,28,50,318,46.2
98,Alexandre Burrows,27,VAN,LW,82,1016,897,53.1,5.4,6.7,9.0,754,691,52.2,4.4,11.0,91.1,102.1,42.7,57.3,16:38,12:59,63,26,284,60.6
99,Chris Butler,22,BUF,D,47,590,723,44.9,-5.3,-11.3,-11.5,470,565,45.4,-5.5,8.4,95.6,104.0,45.1,54.9,16:32,15:05,7,29,74,48.6
100,Dustin Byfuglien,23,CHI,RW,77,850,683,55.4,-1.0,11.0,4.7,657,535,55.1,-1.4,6.6,94.4,101.0,58.8,41.2,14:52,11:51,26,18,319,63.0
